observed,observed_source,aqi,band,governing_pollutant,worst_station,station_mean,stations_reporting,stations_above_limit,aqi_limit,source,revisions,first_seen,last_checked
2026-08-25T21:00:00+05:30,25-08-2026 21:00:00,171,Moderately Polluted,PM2.5,"Anand Vihar, Delhi - DPCC",96,44,21,100,mirror,0,2026-08-25T17:16:41.000Z,2026-08-25T17:16:41.000Z
2026-08-26T02:00:00+05:30,26-08-2026 02:00:00,149,Moderately Polluted,PM2.5,"Anand Vihar, Delhi - DPCC",88,44,15,100,mirror,1,2026-08-26T02:50:42.000Z,2026-08-26T09:03:03.000Z
2026-08-26T15:00:00+05:30,26-08-2026 15:00:00,181,Moderately Polluted,PM10,"Anand Vihar, Delhi - DPCC",94,44,17,100,mirror,0,2026-08-26T10:21:40.000Z,2026-08-26T10:21:40.000Z
2026-08-26T16:00:00+05:30,26-08-2026 16:00:00,183,Moderately Polluted,PM10,"Anand Vihar, Delhi - DPCC",95,44,18,100,mirror,0,2026-08-26T11:11:02.000Z,2026-08-26T11:11:02.000Z
2026-08-26T17:00:00+05:30,26-08-2026 17:00:00,187,Moderately Polluted,PM10,"Anand Vihar, Delhi - DPCC",96,44,18,100,caaqms,0,2026-08-26T11:52:45.873Z,2026-08-26T11:59:15.711Z
2026-08-26T23:00:00+05:30,26-08-2026 23:00:00,256,Poor,PM10,"Anand Vihar, Delhi - DPCC",111,44,24,100,mirror,0,2026-08-26T18:14:04.422Z,2026-08-26T18:14:04.422Z
2026-08-27T01:00:00+05:30,27-08-2026 01:00:00,272,Poor,PM10,"Anand Vihar, Delhi - DPCC",114,44,26,100,mirror,0,2026-08-26T20:14:16.870Z,2026-08-26T20:14:16.870Z
2026-08-27T05:00:00+05:30,27-08-2026 05:00:00,311,Very Poor,PM10,"Anand Vihar, Delhi - DPCC",117,45,24,100,mirror,2,2026-08-27T05:32:59.906Z,2026-08-27T09:35:01.004Z
2026-08-28T09:00:00+05:30,28-08-2026 09:00:00,224,Poor,PM2.5,"Anand Vihar, Delhi - DPCC",126,45,37,100,caaqms,1,2026-08-28T03:46:58.495Z,2026-08-28T04:57:09.892Z
2026-08-28T10:00:00+05:30,28-08-2026 10:00:00,229,Poor,PM2.5,"Anand Vihar, Delhi - DPCC",127,45,37,100,mirror,0,2026-08-28T05:11:50.917Z,2026-08-28T05:11:50.917Z
2026-08-28T11:00:00+05:30,28-08-2026 11:00:00,229,Poor,PM2.5,"Anand Vihar, Delhi - DPCC",127,45,38,100,mirror,0,2026-08-28T06:27:23.436Z,2026-08-28T06:27:23.436Z
2026-08-28T12:00:00+05:30,28-08-2026 12:00:00,233,Poor,PM2.5,"Anand Vihar, Delhi - DPCC",127,45,38,100,mirror,0,2026-08-28T07:02:00.362Z,2026-08-28T07:46:43.191Z
2026-08-28T13:00:00+05:30,28-08-2026 13:00:00,235,Poor,PM2.5,"Anand Vihar, Delhi - DPCC",127,45,39,100,mirror,0,2026-08-28T08:02:01.043Z,2026-08-28T08:46:36.576Z
2026-08-28T14:00:00+05:30,28-08-2026 14:00:00,235,Poor,PM2.5,"Anand Vihar, Delhi - DPCC",127,45,39,100,mirror,1,2026-08-28T09:02:13.816Z,2026-08-28T09:46:35.890Z
2026-08-28T15:00:00+05:30,28-08-2026 15:00:00,235,Poor,PM2.5,"Anand Vihar, Delhi - DPCC",127,45,39,100,mirror,0,2026-08-28T10:02:07.845Z,2026-08-28T10:46:42.746Z
